Txn_Date,Daily_Auth_Rate,Rolling_3Day_Avg
2024-01-01,87.640449438202253,87.6
2024-01-02,84.628975265017672,86.1
2024-01-03,86.443661971830991,86.2
2024-01-04,87.951807228915655,86.3
2024-01-05,83.606557377049185,86.0
2024-01-06,86.865148861646233,86.1
2024-01-07,87.43362831858407,86.0
2024-01-08,88.468468468468458,87.6
2024-01-09,85.5379188712522,87.1
2024-01-10,88.313856427378965,87.4
2024-01-11,85.714285714285708,86.5
2024-01-12,86.939571150097464,87.0
2024-01-13,90.049751243781088,87.6
2024-01-14,87.709497206703915,88.2
2024-01-15,87.102473498233209,88.3
2024-01-16,84.754990925589837,86.5
2024-01-17,88.127090301003335,86.7
2024-01-18,87.434554973821989,86.8
2024-01-19,90.484429065743939,88.7
2024-01-20,86.940298507462686,88.3
2024-01-21,84.265734265734267,87.2
2024-01-22,87.084870848708491,86.1
2024-01-23,88.345864661654133,86.6
2024-01-24,90.460526315789465,88.6
2024-01-25,87.289719626168221,88.7
2024-01-26,86.0036832412523,87.9
2024-01-27,86.524822695035468,86.6
2024-01-28,85.47794117647058,86.0
2024-01-29,88.333333333333329,86.8
2024-01-30,87.169811320754718,87.0
2024-01-31,85.863874345549746,87.1
2024-02-01,88.9087656529517,87.3
2024-02-02,86.071428571428584,86.9
2024-02-03,87.222222222222229,87.4
2024-02-04,86.013986013986013,86.4
2024-02-05,88.8707037643208,87.4
2024-02-06,86.291739894551839,87.1
2024-02-07,86.516853932584269,87.2
2024-02-08,83.993115318416528,85.6
2024-02-09,87.2852233676976,85.9
2024-02-10,87.551020408163254,86.3
2024-02-11,86.55913978494624,87.1
2024-02-12,86.422018348623851,86.8
2024-02-13,87.23776223776224,86.7
2024-02-14,88.566552901023883,87.4
2024-02-15,88.816855753646678,88.2
2024-02-16,87.253141831238779,88.2
2024-02-17,90.361445783132538,88.8
2024-02-18,86.510791366906474,88.0
2024-02-19,86.195286195286187,87.7
2024-02-20,88.291746641074852,87.0
2024-02-21,87.638376383763841,87.4
2024-02-22,85.2882703777336,87.1
2024-02-23,85.288966725043778,86.1
2024-02-24,86.934673366834176,85.8
2024-02-25,88.078291814946624,86.8
2024-02-26,85.14492753623189,86.7
2024-02-27,83.116883116883116,85.4
2024-02-28,87.625418060200673,85.3
2024-02-29,88.849557522123888,86.5
2024-03-01,87.919463087248317,88.1
2024-03-02,85.416666666666657,87.4
2024-03-03,87.7659574468085,87.0
2024-03-04,85.438596491228068,86.2
2024-03-05,85.788561525129978,86.3
2024-03-06,87.958115183246079,86.4
2024-03-07,86.703096539162118,86.8
2024-03-08,88.8086642599278,87.8
2024-03-09,86.025408348457361,87.2
2024-03-10,88.770053475935825,87.9
2024-03-11,86.038394415357772,86.9
2024-03-12,87.412587412587413,87.4
2024-03-13,87.385740402193775,86.9
2024-03-14,86.042402826855124,86.9
2024-03-15,87.818181818181813,87.1
2024-03-16,88.020833333333343,87.3
2024-03-17,85.438596491228068,87.1
2024-03-18,87.1404399323181,86.9
2024-03-19,86.21848739495799,86.3
2024-03-20,87.318840579710141,86.9
2024-03-21,88.946459412780655,87.5
2024-03-22,85.638297872340431,87.3
2024-03-23,89.330922242314642,88.0
2024-03-24,84.810126582278471,86.6
2024-03-25,88.850174216027881,87.7
2024-03-26,88.6861313868613,87.4
2024-03-27,88.505747126436788,88.7
2024-03-28,85.48094373865699,87.6
2024-03-29,86.900369003690031,87.0
2024-03-30,88.4083044982699,86.9
2024-03-31,86.866791744840526,87.4
2024-04-01,85.714285714285708,87.0